,Capacity,Operator,Coordinates,latitude,longitude
Altcourse,1324,G4S,"(53.46194444444445, -2.9355555555555557)",53.4619444444445,-2.93555555555556
Ashfield,400,Serco,"(51.481388888888894, -2.4397222222222226)",51.4813888888889,-2.43972222222222
Askham Grange,128,HMP,"(53.92583333333333, -1.1844444444444444)",53.9258333333333,-1.18444444444444
Aylesbury,443,HMP,"(51.82194444444445, -0.7997222222222222)",51.8219444444445,-0.799722222222222
Bedford,506,HMP,"(52.13944444444444, -0.47000000000000003)",52.1394444444444,-0.47
Belmarsh,910,HMP,"(51.49638888888889, 0.09277777777777778)",51.4963888888889,0.0927777777777778
Berwyn,2106,HMP,"(53.03696, -2.92733)",53.03696,-2.92733
Birmingham,1450,HMP,"(52.49272, -1.93845)",52.49272,-1.93845
Brinsford,569,HMP,"(52.64694444444444, -2.11)",52.6469444444444,-2.11
Bristol,614,HMP,"(51.48083333333334, -2.5922222222222224)",51.4808333333333,-2.59222222222222
Brixton,798,HMP,"(51.45191064636698, -0.12206704747012861)",51.451910646367,-0.122067047470129
Bronzefield,569,Sodexo Justice Services,"(51.43277777777777, -0.4841666666666667)",51.4327777777778,-0.484166666666667
Buckley Hall,381,HMP,"(53.635, -2.145)",53.635,-2.145
Bullingdon,1114,HMP,"(51.848888888888894, -1.093611111111111)",51.8488888888889,-1.09361111111111
Bure,624,HMP,"(52.75944444444445, 1.346111111111111)",52.7594444444445,1.34611111111111
Cardiff,784,HMP,"(51.48111111111111, -3.168333333333333)",51.4811111111111,-3.16833333333333
Channings Wood,731,HMP,"(50.51166666666666, -3.6527777777777777)",50.5116666666667,-3.65277777777778
Chelmsford,695,HMP,"(51.73583333333333, 0.48638888888888887)",51.7358333333333,0.486388888888889
Coldingley,513,HMP,"(51.322500000000005, -0.6419444444444444)",51.3225,-0.641944444444444
Cookham Wood,157,HMP,"(51.36416666666667, 0.49416666666666664)",51.3641666666667,0.494166666666667
Dartmoor,646,HMP,"(50.54972222222222, -3.9961111111111114)",50.5497222222222,-3.99611111111111
Deerbolt,453,HMP,"(54.5425, -1.9380555555555556)",54.5425,-1.93805555555556
Doncaster,1145,Serco,"(53.52472222222222, -1.1458333333333333)",53.5247222222222,-1.14583333333333
Dovegate,860,Serco,"(52.87138888888889, -1.7808333333333333)",52.8713888888889,-1.78083333333333
Downview,358,HMP,"(51.33833333333334, -0.18805555555555553)",51.3383333333333,-0.188055555555556
Drake Hall,315,HMP,"(52.87888888888889, -2.241388888888889)",52.8788888888889,-2.24138888888889
Durham,981,HMP,"(54.77333333333333, -1.5680555555555555)",54.7733333333333,-1.56805555555556
East Sutton Park,100,HMP,"(51.21527777777778, 0.6158333333333333)",51.2152777777778,0.615833333333333
Eastwood Park,362,HMP,"(51.635, -2.4683333333333333)",51.635,-2.46833333333333
Erlestoke,470,HMP,"(51.28388888888889, -2.044722222222222)",51.2838888888889,-2.04472222222222
Exeter,533,HMP,"(50.728611111111114, -3.5322222222222224)",50.7286111111111,-3.53222222222222
Featherstone,702,HMP,"(52.65, -2.111666666666667)",52.65,-2.11166666666667
Feltham,762,HMP,"(51.440555555555555, -0.4352777777777778)",51.4405555555556,-0.435277777777778
Ford,557,HMP,"(50.81583333333333, -0.5775)",50.8158333333333,-0.5775
Forest Bank,1424,Sodexo Justice Services,"(53.514722222222225, -2.301944444444444)",53.5147222222222,-2.30194444444444
Fosse Way,1715,Serco,"(52.583333333333336, -1.145)",52.5833333333333,-1.145
Foston Hall,290,HMP,"(52.8825, -1.725277777777778)",52.8825,-1.72527777777778
Five Wells,1680,G4S,"(52.285, -0.6919444444444445)",52.285,-0.691944444444445
Frankland,750,HMP,"(54.805277777777775, -1.551111111111111)",54.8052777777778,-1.55111111111111
Full Sutton,608,HMP,"(53.983333333333334, -0.8666666666666667)",53.9833333333333,-0.866666666666667
Garth,847,HMP,"(53.680277777777775, -2.7583333333333333)",53.6802777777778,-2.75833333333333
Gartree,869,HMP,"(52.49611111111111, -0.9608333333333333)",52.4961111111111,-0.960833333333333
Grendon,235,HMP,"(51.893055555555556, -1.0058333333333334)",51.8930555555556,-1.00583333333333
Guys Marsh,578,HMP,"(50.984722222222224, -2.2197222222222224)",50.9847222222222,-2.21972222222222
Hatfield,260,HMP,"(53.586666666666666, -0.9813888888888889)",53.5866666666667,-0.981388888888889
Haverigg,644,HMP,"(54.20027777777778, -3.313611111111111)",54.2002777777778,-3.31361111111111
Hewell,1431,HMP,"(52.32138888888889, -1.9930555555555556)",52.3213888888889,-1.99305555555556
High Down,1208,HMP,"(51.33555555555556, -0.1897222222222222)",51.3355555555556,-0.189722222222222
Highpoint North,379,HMP,"(52.14055555555556, 0.5133333333333333)",52.1405555555556,0.513333333333333
Highpoint South,944,HMP,"(52.13777777777778, 0.5138888888888888)",52.1377777777778,0.513888888888889
Hindley,440,HMP,"(53.51777777777777, -2.576944444444444)",53.5177777777778,-2.57694444444444
Hollesley Bay,330,HMP,"(52.05138888888889, 1.4519444444444445)",52.0513888888889,1.45194444444444
Holme House,1211,HMP,"(54.57777777777778, -1.2930555555555554)",54.5777777777778,-1.29305555555556
Hull,1044,HMP,"(53.74777777777778, -0.29583333333333334)",53.7477777777778,-0.295833333333333
Humber,1064,HMP,"(53.769444444444446, -0.6411111111111111)",53.7694444444444,-0.641111111111111
Huntercombe,365,HMP,"(51.587500000000006, -1.0183333333333333)",51.5875,-1.01833333333333
Isis,622,HMP,"(51.494166666666665, 0.08916666666666666)",51.4941666666667,0.0891666666666667
Isle of Wight (Albany),567,HMP,"(50.71222222222222, -1.3072222222222223)",50.7122222222222,-1.30722222222222
Isle of Wight (Parkhurst),536,HMP,"(50.71527777777778, -1.3083333333333333)",50.7152777777778,-1.30833333333333
Kirkham,590,HMP,"(53.775, -2.8733333333333335)",53.775,-2.87333333333333
Kirklevington Grange,283,HMP,"(54.495, -1.3397222222222223)",54.495,-1.33972222222222
Lancaster Farms,549,HMP,"(54.05305555555555, -2.771111111111111)",54.0530555555556,-2.77111111111111
Leeds,1004,HMP,"(53.79555555555555, -1.576111111111111)",53.7955555555556,-1.57611111111111
Leicester,392,HMP,"(52.627594071634725, -1.1318688334868228)",52.6275940716347,-1.13186883348682
Lewes,723,HMP,"(50.8725, -0.005833333333333334)",50.8725,-0.00583333333333333
Leyhill,532,HMP,"(51.62833333333333, -2.438888888888889)",51.6283333333333,-2.43888888888889
Lincoln,738,HMP,"(53.23527777777778, -0.5180555555555556)",53.2352777777778,-0.518055555555556
Lindholme,990,HMP,"(53.53333333333333, -0.9666666666666667)",53.5333333333333,-0.966666666666667
Littlehey,1200,HMP,"(52.28055555555555, -0.31222222222222223)",52.2805555555556,-0.312222222222222
Liverpool,1184,HMP,"(53.45777777777778, -2.9697222222222224)",53.4577777777778,-2.96972222222222
Long Lartin,622,HMP,"(52.108333333333334, -1.853611111111111)",52.1083333333333,-1.85361111111111
Low Newton,336,HMP,"(54.80580422771092, -1.556620303081983)",54.8058042277109,-1.55662030308198
